xG,xGA,pts,xpts
52.198713,14.180707700000001,56,52.1943
54.982638,19.667174,45,48.1944
41.830971,22.303443,44,42.8215
37.146389,30.448016,37,35.370200000000004
32.4443296,23.669693,36,32.4494
31.819789,32.988633,35,29.0118
32.839538,29.165325,35,32.1317
22.3655919,26.041273,31,26.006700000000002
25.558907,24.144643000000002,29,30.0365
26.720534,36.169489999999996,25,20.686
28.430506,25.3393206,24,31.284699999999997
25.00804,32.283157,24,25.1456
20.885108,29.500031,23,22.5379
28.055329,29.588297,23,30.4559
26.515719,36.314707999999996,22,23.6188
24.012293,29.841743,19,23.2117
20.970029,36.586232,14,17.1197
16.8827088,39.053999,13,15.8309
18.870052,39.41195,12,15.1981
17.182823,28.022173,11,15.54
